Product Name,Official Price,Weight/Unit,Offer Price,Currency,Date,From
"Limes, seedless",,1 Kg pack,13.50,SR,2024-08-19,https://www.sharbatly.club
Figs,,1 Kg pack,26.50,SR,2024-08-19,https://www.sharbatly.club
"Mushrooms, king oyster / eryngii",,1 kg box,85.00,SR,2024-08-19,https://www.sharbatly.club
Chicory White,,0.5 kg Pack,17.95,SR,2024-08-19,https://www.sharbatly.club
"Lettuce, Mesclun",,0.125 kg pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Bitter gourds, bitter melons, Karela",,1 Kg bag,7.95,SR,2024-08-19,https://www.sharbatly.club
"Radishes, Daikon",,1 Kg Pack,9.50,SR,2024-08-19,https://www.sharbatly.club
Beetroots,,2 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Peppers, chili green local",,0.3 kg Pack,2.50,SR,2024-08-19,https://www.sharbatly.club
"Avocados, Fuerte",,1 Kg Punnet,19.95,SR,2024-08-19,https://www.sharbatly.club
"Potatoes, local",,1.6 kg Bag,6.95,SR,2024-08-19,https://www.sharbatly.club
"Cabbage Chinese, Napa, Single Piece",,count,21.50,SR,2024-08-19,https://www.sharbatly.club
"Apples, Kanzi",,1 Kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
Strawberries,,"0.25 Kg, Pack",12.50,SR,2024-08-19,https://www.sharbatly.club
Lemon Grass,6.50,0.10 kg Bunch,5.95,SR,2024-08-19,https://www.sharbatly.club
Rosemary,,0.10 kg Bunch,9.95,SR,2024-08-19,https://www.sharbatly.club
"Thyme, fresh",,0.10 kg Bunch,11.50,SR,2024-08-19,https://www.sharbatly.club
"Pears, Ercolini",,1 kg Pack,16.50,SR,2024-08-19,https://www.sharbatly.club
Taro Roots,,1 kg Pack,16.50,SR,2024-08-19,https://www.sharbatly.club
Walnuts ,,0.5 kg pack,12.50,SR,2024-08-19,https://www.sharbatly.club
Nectarines,,1 kg Pack,22.50,SR,2024-08-19,https://www.sharbatly.club
"Pears, Forelle",,1 kg Pack,12.50,SR,2024-08-19,https://www.sharbatly.club
"Eggplants, baby",,1 kg Pack,5.50,SR,2024-08-19,https://www.sharbatly.club
"Onions, White",,2 kg Bag,14.50,SR,2024-08-19,https://www.sharbatly.club
"Basil, Hydroponic",,0.1 kg Bunch,9.95,SR,2024-08-19,https://www.sharbatly.club
"Okra, small-medium",,0.4 Kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
Guavas,,2 kg box,19.95,SR,2024-08-19,https://www.sharbatly.club
"Zucchini, courgette, green",,1 kg Pack,7.50,SR,2024-08-19,https://www.sharbatly.club
"Cauliflower, Single Piece",,count,7.50,SR,2024-08-19,https://www.sharbatly.club
"Tomatoes, Cherry, Round",,0.25 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Tamarind, Sweet",,0.45 kg Pack,14.95,SR,2024-08-19,https://www.sharbatly.club
Strawberries USA Driscoll's,,0.45 kg Pack,34.50,SR,2024-08-19,https://www.sharbatly.club
Parsley flat,,0.1 kg Bunch,1.95,SR,2024-08-19,https://www.sharbatly.club
Peppers Capsicum Yellow,,1 kg Pack,14.50,SR,2024-08-19,https://www.sharbatly.club
"Peppers, Capsicum Red",,1 kg Pack,14.50,SR,2024-08-19,https://www.sharbatly.club
"Plums, Red",14.50,1 kg Pack,10.95,SR,2024-08-19,https://www.sharbatly.club
"Pineapple, Golden, single piece",,count,14.95,SR,2024-08-19,https://www.sharbatly.club
Peaches,,1 kg Pack,22.50,SR,2024-08-19,https://www.sharbatly.club
"Oranges, Valencia for juice",,2 kg Bag,12.50,SR,2024-08-19,https://www.sharbatly.club
"Oranges, Navel",,2 kg Bag,14.95,SR,2024-08-19,https://www.sharbatly.club
"Onions, Red",,1.6 kg Bag,7.50,SR,2024-08-19,https://www.sharbatly.club
"Mushrooms, white",,0.25 kg Pack,7.95,SR,2024-08-19,https://www.sharbatly.club
"Kiwifruits Sungold, Zespri",,1 kg,38.50,SR,2024-08-19,https://www.sharbatly.club
"Grapefruits, Pink",16.50,2 kg Bag,9.95,SR,2024-08-19,https://www.sharbatly.club
"Easypeeler, Nova ",,1 kg pack,12.50,SR,2024-08-19,https://www.sharbatly.club
Eggplants,,1 kg Bag,5.95,SR,2024-08-19,https://www.sharbatly.club
Dill,,0.1 kg Bunch,1.99,SR,2024-08-19,https://www.sharbatly.club
Spring Onions,,0.2 kg Bunch,2.50,SR,2024-08-19,https://www.sharbatly.club
